episode_type,kpi,СВО,Ближний Восток (Израиль — ХАМАС),Судан,Мьянма,Сирия,Йемен,total
Эвакуация населения из зоны боевых действий,KPI-1 (OSI),4,5,2,1,2,1,15
Информирование о безопасных коридорах,KPI-1 (OSI),2,3,1,0,1,1,8
Коммуникация о режиме тишины / гуманитарных паузах,KPI-1 (OSI),1,2,0,0,1,0,4
Деморализующие кампании (трансляция потерь),KPI-2 (DRI),3,1,1,2,1,1,9
Трансляция альтернативных нарративов (перебежчики),KPI-2 (DRI),2,1,1,1,0,0,5
"Психологическое воздействие (листовки, SMS, обращения)",KPI-2 (DRI),2,0,0,1,1,0,4
Призывы к сдаче в плен с гарантиями,KPI-3 (SRI),2,0,0,1,1,0,4
Коммуникация условий капитуляции,KPI-3 (SRI),1,0,1,0,1,0,3
Обращения к окружённым подразделениям,KPI-3 (SRI),1,0,0,0,0,0,1
Визуализация гуманитарного кризиса,KPI-4 (MAI),2,5,3,2,2,2,16
Международные медийные кампании (дипломатический эффект),KPI-4 (MAI),3,4,2,1,1,2,13
Демонстрация эффективности вооружений (боевой маркетинг),KPI-5 (DCI),4,2,1,1,2,1,11
Влияние на оборонные контракты (экспортное влияние),KPI-5 (DCI),2,2,0,0,1,0,5
Кампании о стоимости/дефиците оружия противника,KPI-5 (DCI),1,1,0,0,0,0,2
