event_id,event_description,media_event,conflict_event,kpi_category,primary_kpi,secondary_kpi,structural_feature,source_type,source_url_stub,verification_status,notes
RU_001,Avdiivka Telegram reports,Telegram channels report Avdiivka encirclement in real time,Ukrainian forces withdraw from Avdiivka,2,Enemy Disorientation,,Platform architecture (Telegram) + personal channels + geolocation,OSINT,Telegram / ISW,Verified via multiple OSINT sources,Example of structural feature: platform speed enables disorientation without intentional propaganda
RU_002,Kursk raid OSINT,Kursk raid widely reported before official confirmation,Kursk Oblast incursion,2,Enemy Disorientation,,Network topology of Telegram + X/Twitter enables self-organizing information flow,OSINT + Social Media,Telegram / X / Bellingcat,Verified via satellite imagery,Structural: platform algorithm amplifies military events by user behavior
RU_003,Al Jazeera spillover,Al Jazeera live coverage of events becomes primary source for international audiences,October 7 Hamas attack (contextual spillover),5,International Support Formation,,Aggregator algorithms prioritize conflict footage by engagement metrics,Mass Media,Al Jazeera / BBC,Cross-referenced via multiple outlets,Structural: recommendation algorithms amplify certain narratives
RU_004,Russian MoD Telegram,Russian MoD Telegram channel publishes strike coordinates,Ukrainian ammunition depot destroyed,4,Societal Mobilization,,One-to-many architecture of Telegram channels enables direct state communication,Social Media,Telegram / TASS,Verified via secondary sources,Structural: removes editorial filters
RU_005,DeepStateMap updates,DeepStateMap live updates on frontline changes,Troitskoe settlement liberation,2,Enemy Disorientation,,Open collaborative platform (DeepStateMap) enables distributed intelligence,OSINT,DeepStateMap / ISW,Verified via satellite imagery,Structural: collaborative mapping changes info asymmetry
PI_001,Hamas Telegram broadcast,Hamas Telegram channels broadcast attack footage in real time,October 7 attack on Israel,2,Enemy Disorientation,4,Ephemeral content architecture (Stories) + personal broadcast + algorithm amplification,Social Media,Hamas channels / Reuters,Verified by news agencies,Structural: removes traditional war correspondent mediation
PI_002,Al Jazeera 24/7 coverage,Al Jazeera 24/7 coverage shifts global attention,Gaza blockade begins,5,International Support Formation,,News aggregator algorithms + livestream technology + satellite broadcast,Mass Media,Al Jazeera / Reuters / BBC,Multiple source verification,Structural: technology enables 24/7 attention maintenance
PI_003,ICJ livestream,ICJ proceedings livestreamed globally,South Africa files genocide case,5,International Support Formation,,Courtroom technology + social media amplification + international news pickup,International Org,ICJ / UN / Reuters,Official court records,Structural: institutional tech enables global legal visibility
PI_004,WCK convoy strike,World Central Kitchen convoy strike footage circulated by journalists,IDF strike on aid convoy,1,Humanitarian Information,,Portable broadcast technology + social media distribution + NGO networks,NGO/Media,Reuters / WCK / CNN,Verified by multiple outlets,Structural: mobile journalism changes accountability
PI_005,#AllEyesOnRafah,Social media campaigns (#AllEyesOnRafah),Rafah offensive intensifies,5,International Support Formation,,Algorithm amplification + celebrity endorsement + platform architecture,Social Media,TikTok / X / Instagram,Platform analytics verified,Structural: algorithm enables rapid global mobilization
UI_001,IRGC Damascus broadcast,IRGC-affiliated channels broadcast Damascus consulate strike aftermath,IDF strike on Iranian consulate in Damascus,2,Enemy Disorientation,4,State-controlled platform architecture + algorithmic prioritization,Social Media,Telegram / IRNA,Cross-referenced with satellite imagery,Structural: state-platform integration enables narrative control
UI_002,Iranian drone tracking,Iranian drones tracked in real time on social media and flight trackers,Iranian retaliatory strikes on Israel,2,Enemy Disorientation,,Flight tracking technology + ADS-B + social media aggregation,OSINT,FlightRadar24 / X / Bellingcat,Verified via flight data,Structural: open data removes fog of war
UI_003,Israeli strikes civilian reports,Israeli strikes on Iranian facilities reported by civilian accounts,Iranian military infrastructure damaged,1,Humanitarian Information,,Smartphone cameras + social media distribution + geolocation,Social Media,Telegram / X / Reuters,Citizen journalism verification,Structural: mobile tech enables civilian war documentation
UI_004,IRIB helicopter crash,IRIB broadcasts presidential helicopter crash in real time,Iranian President Raisi dies in crash,1,Humanitarian Information,4,Broadcast infrastructure + state media monopoly + platform distribution,Mass Media,IRIB / Reuters,Multiple outlet confirmation,Structural: state broadcast architecture controls narrative
UI_005,Syrian opposition media,Syrian opposition social media celebrates Assad fall,Assad regime collapses,4,Societal Mobilization,5,Platform architecture + personal broadcast + network effects,Social Media,Telegram / X / Syrian channels,Verified via international media,Structural: platform enables rapid regime-change communication
