stage,name,description,input_records,output_records,excluded,exclusion_reason,exclusion_count
1,Идентификация и дедупликация,"Поиск сообщений, содержащих упоминание вооружённого конфликта, с использованием системы Талисман (ИСП РАН). Агрегация схожих сообщений в кластеры событий. Удаление дубликатов.",2340,1247,1093,дубликаты,612
1,Идентификация и дедупликация,"Поиск сообщений, содержащих упоминание вооружённого конфликта, с использованием системы Талисман (ИСП РАН). Агрегация схожих сообщений в кластеры событий. Удаление дубликатов.",2340,1247,1093,нерелевантные_сообщения,348
1,Идентификация и дедупликация,"Поиск сообщений, содержащих упоминание вооружённого конфликта, с использованием системы Талисман (ИСП РАН). Агрегация схожих сообщений в кластеры событий. Удаление дубликатов.",2340,1247,1093,не_содержат_упоминания_конфликта,133
2,Критериальный отбор,"Применение критериев включения: (1) наличие идентифицируемого медийного действия; (2) наличие результата, измеримого в терминах KPI; (3) временная связь (не более 30 дней); (4) не менее двух независимых источников",1247,483,764,отсутствие_измеримого_результата,312
2,Критериальный отбор,"Применение критериев включения: (1) наличие идентифицируемого медийного действия; (2) наличие результата, измеримого в терминах KPI; (3) временная связь (не более 30 дней); (4) не менее двух независимых источников",1247,483,764,превышение_временного_порога,198
2,Критериальный отбор,"Применение критериев включения: (1) наличие идентифицируемого медийного действия; (2) наличие результата, измеримого в терминах KPI; (3) временная связь (не более 30 дней); (4) не менее двух независимых источников",1247,483,764,единичный_источник,164
2,Критериальный отбор,"Применение критериев включения: (1) наличие идентифицируемого медийного действия; (2) наличие результата, измеримого в терминах KPI; (3) временная связь (не более 30 дней); (4) не менее двух независимых источников",1247,483,764,неидентифицируемое_медийное_действие,90
3,Верификация и кодировка МЭПВ,Процесс-трейсинг с оценкой надёжности по шкале Бэкмана. Кодировка единиц анализа по KPI-категориям и типам эпизодов. Исключение записей с недостаточной причинно-следственной связью.,483,315,168,недостаточная_причинность,87
3,Верификация и кодировка МЭПВ,Процесс-трейсинг с оценкой надёжности по шкале Бэкмана. Кодировка единиц анализа по KPI-категориям и типам эпизодов. Исключение записей с недостаточной причинно-следственной связью.,483,315,168,низкая_надёжность_оценки,51
3,Верификация и кодировка МЭПВ,Процесс-трейсинг с оценкой надёжности по шкале Бэкмана. Кодировка единиц анализа по KPI-категориям и типам эпизодов. Исключение записей с недостаточной причинно-следственной связью.,483,315,168,неполнота_данных,30
